Plot.Year,AUPA,BEGL,CAAQ,CACA,CACH,CAGI,CAST1,CAST2,CHCA,CLAM,CLCE,CLCR,CLEC,CLGR,CLMI,CLPY,DIUN,DRRO,EQSC,ERCH,ERVA,FLCU,HYSP,LALA,LEDE,LEGR,METR,MYAN,OXMI,PEAP,PELA,PENE,PESC,PEVE,PIMA,PLSC,POST,PTCR,RHPS,RUCH,SAPE,SPAN,SPCA,SPFU,SPGI,SPMA,SPRI,SPSQ,SPUNK1,SPUNK2,SPUNK3,SPWA,TONI,UNK1,UNK2,UNK3,UNK4,UNK5,UNKGR,UNKSH,VAUL,VAVI
PP-JA1-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,1,30,0,0,1,10,0,0,0,0,0,1,0,1,0,0,15,0,0,0,1,0,88,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,5
PP-JA2-17,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,0,0,4,0,60,0,0,0,0,1,0,1,0,0,0,35,0,0,0,20,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,0,0,0,5,70
PP-JA2-18,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,70,0,0,1,0,30,0,0,0,1,2,0,0,0,0,0,1,0,0,0,20,0,20,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,30
PP-JA2-19,5,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,50,0,0,1,0,20,0,0,0,1,0,0,0,0,5,0,9,0,1,0,15,1,25,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,5,30
PP-JA3-17,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,5,0,0,0,0,60,1,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,20,0,15,0,0,0,0,0,20,0,0,0,15,0,0,0,0,10,60
PP-JA3-18,5,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,35,0,0,5,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,10,0,0,0,60,0,0,0,5,0,25,0,0,0,0,0,20,0,0,0,0,0,0,0,0,5,25
PP-JA3-19,10,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,14,1,0,10,0,1,1,0,20,0,0,0,0,0,0,0,1,0,1,5,5,0,0,35,0,0,0,10,1,10,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1,25
PP-JA4-17,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,60,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,60,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,5
PP-JA4-18,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,80,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0
PP-JA4-19,5,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,40,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,5,0,0,5,65,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,5
PP-SA1-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,0,0,0,0,30,1,0,0,1,0,0,0,0,0,1,0,0,0,0,30,0,0,0,10,0,65,0,0,0,0,0,0,1,0,0,5,0,0,0,0,15,40
PP-SA1-18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,30,0,0,0,0,20,1,0,0,1,0,0,0,0,0,1,0,0,0,0,20,0,0,0,15,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30
PP-SA1-19,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,25,0,0,0,0,15,0,0,0,5,0,0,0,0,0,1,0,1,0,0,25,0,1,0,14,0,50,0,0,0,0,0,1,3,0,0,0,0,0,0,0,10,25
PP-SA2-17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,40,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,80,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,20
PP-SA2-18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,40,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,50,0,0,0,5,0,0,0,0,0,5,1,5,0,0,0,0,0,0,1,10
PP-SA2-19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,40,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,50,0,0,0,10,0,0,0,0,0,9,0,0,0,0,0,0,0,0,10,10
