PlotID,PlotName,Area,Side,HistoricalName,Location,Thaw Stage,StageNum,Year,Stage.Year,Treatment,Replicate,WardCluster,ClustNum,MaxThaw,IceChange17to19,IceHistAVG,IceChangeHistTo19,Soil.moisture.mV,Soil.temp.C,JulyPeakMeth.umol/m2/min,Cum.CH4.umol,Cum.CH4.mol,Cum.CH4.gC,JulyNEE,Cum.NEE.umol,Cum.NEE.mol,Cum.NEE.gC,JulyER,PeakER,GPP,Cum.ER.umol.day,Richness,Closs.umol.m2,Closs.mol.m2,Closs.gC.m2,Graminoids,Ericoids,Sphagna
PP-SA2-17,PPSA2,PP,CAT,Snow,PPBo,1-Early,2,2017,1-Early2017,SA,2,D,2,64,0,46,18,213,8.6,3.925788098,494546.6125,0.494546613,5.939850999,0.515188966,-55.78869427,-5.57887E-05,-0.000670061,6.990364263,7.650588645,7.135399679,721181.0956,14,494490.8238,0.494490824,5.939180937,40,36,100
PP-SA2-18,PPSA2,PP,CAT,Snow,PPBo,1-Early,2,2018,1-Early2018,SA,2,D,2,77,13,46,31,221,14.5,7.273115485,684511.1373,0.684511137,8.221457917,-3.696984669,-76.31601374,-7.6316E-05,-0.000916609,4.789537522,9.580434382,13.27741905,1111407.868,3,684434.8213,0.684434821,8.220541308,40,27,60
PP-SA2-19,PPSA2,PP,CAT,Snow,PPBo,1-Early,2,2019,1-Early2019,SA,2,D,2,67,3,46,21,722,9.8,6.258767456,670261.3244,0.670261324,8.050307689,-1.992729879,-172.7513473,-0.000172751,-0.002074865,3.212134071,10.38177683,12.37450671,1191852.136,10,670088.5731,0.670088573,8.048232824,40,31,69
PP-SA3-17,PPSA3,PP,MRT,Control,PPSt,0-Stable,1,2017,0-Stable2017,SA,3,A,1,47,0,46,1,414,13.6,0.194040622,21375.51487,0.021375515,0.256734896,-2.405022895,-139.3626341,-0.000139363,-0.001673843,6.839765534,8.253011626,10.65803452,906958.9954,20,21236.15224,0.021236152,0.255061054,0,96,85
PP-SA3-18,PPSA3,PP,MRT,Control,PPSt,0-Stable,1,2018,0-Stable2018,SA,3,A,1,51,4,46,5,450,9.8,0.324185519,42458.49132,0.042458491,0.509956202,-1.725117668,-33.62360619,-3.36236E-05,-0.000403843,4.813946498,8.189063655,9.914181323,983529.8653,13,42424.86771,0.042424868,0.509552359,1,90,60
PP-SA3-19,PPSA3,PP,MRT,Control,PPSt,0-Stable,1,2019,0-Stable2019,SA,3,A,1,55.5,8.5,46,9.5,668,10.7,0.623311313,51553.84994,0.05155385,0.619197825,-2.156855123,-93.17930026,-9.31793E-05,-0.001119149,3.158155049,6.282149353,8.439004476,985899.056,9,51460.67064,0.051460671,0.618078677,1,86,70
PP-SA4-17,PPSA4,PP,MRT,Control,PPBo,1-Early,2,2017,1-Early2017,SA,4,D,2,60,0,46,14,510,9.2,0.599703663,66063.35556,0.066063356,0.793467145,-3.424644328,-197.4400528,-0.00019744,-0.002371393,1.958628234,3.643646945,7.068291273,415842.7366,5,65865.91551,0.065865916,0.791095751,1,76,60
PP-SA4-18,PPSA4,PP,MRT,Control,PPBo,1-Early,2,2018,1-Early2018,SA,4,D,2,76,16,46,30,797,13,0.920480736,96378.91077,0.096378911,1.157578184,0.946230291,-60.46805557,-6.04681E-05,-0.000726264,3.971570873,5.38894632,4.442716029,543108.5124,14,96318.44271,0.096318443,1.15685192,0,53,66
PP-SA4-19,PPSA4,PP,MRT,Control,PPBo,1-Early,2,2019,1-Early2019,SA,4,D,2,84,24,46,38,580,12,4.148785944,412123.2719,0.412123272,4.949888982,0,-128.2751043,-0.000128275,-0.001540674,7.625529551,5.072043345,7.625529551,577824.7996,11,411994.9968,0.411994997,4.948348308,11,67,71
PP-SD1-17,PPSD1,PP,MRT,Control,PPBo,1-Early,2,2017,1-Early2017,SD,1,A,1,66,0,46,20,558,12.1,2.202786929,282768.8185,0.282768819,3.396251448,0.955860027,-191.1354018,-0.000191135,-0.00229567,6.109749879,4.394561285,5.153889852,619838.5738,14,282577.6831,0.282577683,3.393955778,25,37,75
